t_s,soc_p5,soc_p50,soc_p95
3.100000000000000000e+02,9.145114266517682111e-01,9.150702331697162517e-01,9.154531029160203337e-01
3.150000000000000000e+02,9.132016730316809827e-01,9.137694194188945573e-01,9.141584076199390507e-01
3.200000000000000000e+02,9.118939259408607168e-01,9.124706088271286042e-01,9.128657129864170550e-01
3.250000000000000000e+02,9.105881735474962158e-01,9.111737895939495679e-01,9.115750072368485890e-01
3.300000000000000000e+02,9.092844040319816301e-01,9.098789499321062735e-01,9.102862786065246681e-01
3.350000000000000000e+02,9.079826055897003423e-01,9.085860780702903483e-01,9.089995153473171552e-01
3.400000000000000000e+02,9.066827664336180037e-01,9.072951622556733042e-01,9.077147057301777622e-01
3.450000000000000000e+02,9.053848747966970478e-01,9.060061907562684258e-01,9.064318380474652992e-01
3.500000000000000000e+02,9.040889189341486665e-01,9.047191518631330087e-01,9.051509006151128300e-01
3.550000000000000000e+02,9.027948871255289109e-01,9.034340338924178315e-01,9.038718817746480561e-01
3.600000000000000000e+02,9.015027676766954601e-01,9.021508251872811801e-01,9.025947698950754772e-01
3.650000000000000000e+02,9.002125489216319387e-01,9.008695141196700895e-01,9.013195533746307664e-01
3.700000000000000000e+02,8.989242192241481133e-01,8.995900890919832360e-01,9.000462206424180156e-01
3.750000000000000000e+02,8.976377669794671776e-01,8.983125385386209194e-01,8.987747601599332947e-01
3.800000000000000000e+02,8.963531806157060133e-01,8.970368509274300184e-01,8.975051604224872914e-01
3.850000000000000000e+02,8.950704485952548639e-01,8.957630147610523563e-01,8.962374099605318056e-01
3.900000000000000000e+02,8.937895594160660817e-01,8.944910185781809187e-01,8.949714973408940955e-01
3.950000000000000000e+02,8.925105016128539459e-01,8.932208509547319153e-01,8.937074111679291777e-01
4.000000000000000000e+02,8.912332637582142114e-01,8.919525005049357969e-01,8.924451400845934135e-01
4.050000000000000000e+02,8.899578344636678295e-01,8.906859558823538858e-01,8.911846727734423768e-01
4.100000000000000000e+02,8.886842023806326152e-01,8.894212057808275063e-01,8.899259979575631085e-01
4.150000000000000000e+02,8.874123562013285227e-01,8.881582389353572804e-01,8.886691044014382035e-01
4.200000000000000000e+02,8.861422846596198610e-01,8.868970441229255819e-01,8.874139809117521649e-01
4.250000000000000000e+02,8.848739765317997774e-01,8.856376101632575937e-01,8.861606163381394730e-01
4.300000000000000000e+02,8.836074206373182305e-01,8.843799259195298523e-01,8.849089995738784742e-01
4.350000000000000000e+02,8.823426058394582272e-01,8.831239802990281662e-01,8.836591195565374202e-01
4.400000000000000000e+02,8.810795210459639870e-01,8.818697622537572389e-01,8.824109652685706573e-01
4.450000000000000000e+02,8.798181552096222546e-01,8.806172607810045516e-01,8.811645257378721841e-01
4.500000000000000000e+02,8.785584973288013133e-01,8.793664649238631670e-01,8.799197900382861315e-01
4.550000000000000000e+02,8.773005364479476986e-01,8.781173637717134550e-01,8.786767472900789411e-01
4.600000000000000000e+02,8.760442616580462749e-01,8.768699464606677374e-01,8.774353866603737950e-01
4.650000000000000000e+02,8.747896620970428971e-01,8.756242021739792936e-01,8.761956973635498525e-01
4.700000000000000000e+02,8.735367269502334331e-01,8.743801201424175051e-01,8.749576686616092891e-01
4.750000000000000000e+02,8.722854454506207000e-01,8.731376896446128022e-01,8.737212898645123627e-01
4.800000000000000000e+02,8.710358068792398711e-01,8.718969000073701903e-01,8.724865503304832792e-01
4.850000000000000000e+02,8.697878005654569034e-01,8.706577406059546886e-01,8.712534394662884152e-01
4.900000000000000000e+02,8.685414158872384327e-01,8.694202008643516777e-01,8.700219467274888929e-01
4.950000000000000000e+02,8.672966422713961343e-01,8.681842702555002678e-01,8.687920616186664002e-01
5.000000000000000000e+02,8.660534691938073237e-01,8.669499383015041305e-01,8.675637736936280264e-01
5.050000000000000000e+02,8.648118861796122436e-01,8.657171945738195706e-01,8.663370725555872287e-01
5.100000000000000000e+02,8.635718828033902561e-01,8.644860286934215043e-01,8.651119478573245924e-01
5.150000000000000000e+02,8.623334486893138306e-01,8.632564303309504528e-01,8.638883893013282744e-01
