scenario,t_end_s,soc_end,v_end,temp_max_k,temp_min_k,soh_drop,avg_power_w,energy_wh,dt_s,n_points,experiment_id,label,group,rmse_v,mae_v,current_scale,r_scale,ocv_scale,voltage_offset
Day_in_the_Life,15080.0,0.08267306433365673,3.210634396712627,310.45953436499667,298.15,0.00019506878705044528,2.796265209492715,11.697187682592679,10.0,1509,baseline_ocv_r,"Baseline (OCV-R only, no temp corr, no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Gaming,2060.0,0.06278691957815409,3.211504413732424,311.857948203662,298.15,0.0001638862331571067,18.509952969220368,10.59257838956926,5.0,413,baseline_ocv_r,"Baseline (OCV-R only, no temp corr, no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Video_Streaming,4895.0,0.02688819977700886,3.1702955330373506,304.0605941324601,298.15,0.00019718540047553024,9.42558421165916,12.81713435688804,5.0,980,baseline_ocv_r,"Baseline (OCV-R only, no temp corr, no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Winter_Usage,6655.0,0.12395988316769115,3.1892957778380513,298.15,277.075385531026,0.00022127717537501201,6.701365022599844,12.389162070372985,5.0,1332,baseline_ocv_r,"Baseline (OCV-R only, no temp corr, no RC, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
