t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat,label
0.0,1.0,298.15,1.0,3.962884047628078,4.291844779668727,5.470208406360187,2.2222690355914194,18.85553261543071,0.1,0.5,0.09999999662394515,21.677802362620305,0.0,21.677801630765806,22.82695205351285,SOH=1.0
5.0,0.9581617817457706,301.06983328263954,0.9999993922768077,3.847200879428192,4.169923396018913,5.5972799797656085,2.222268937392378,18.825028053290858,0.1,0.5,0.09999999220508152,21.64729863130301,0.0,21.647296943913727,22.69081147014307,SOH=1.0
10.0,0.9260663448216094,303.3875856833855,0.9999987932292045,3.817267573467829,4.1315673732228175,5.602902144483739,2.222268781472742,18.76571240395913,0.1,0.5,0.09999998518884595,21.58798429399457,0.0,21.587981096564953,22.50113136411894,SOH=1.0
15.0,0.9011156832775225,305.22214657637744,0.9999982041938037,3.7976990755129583,4.105571498498803,5.5895807335319825,2.2222685684856174,18.6703835526616,0.1,0.5,0.09999997560462753,21.492657217988764,0.0,21.492651974774983,22.303648874821047,SOH=1.0
20.0,0.8815017000708562,306.6684749543452,0.9999976246952138,3.783736929561908,4.086387853828059,5.563004967472089,2.222268308072491,18.539394974075343,0.1,0.5,0.09999996388628413,21.36167077995864,0.0,21.361663065465542,22.09175352095744,SOH=1.0
25.0,0.8659383635577785,307.8024341615612,0.9999970542873488,3.7735347470321225,4.071722711873182,5.527089031636345,2.2222680150214,18.381230090482113,0.1,0.5,0.09999995069926326,21.203508263184883,0.0,21.20349780969909,21.868679146249107,SOH=1.0
30.0,0.8534808241200937,308.68557942692723,0.9999964924555776,3.76597906573394,4.06027282684513,5.486240449884476,2.222267705039353,18.209466860342022,0.1,0.5,0.0999999367503655,21.03174748838699,0.0,21.031734185883572,21.644693898056328,SOH=1.0
35.0,0.8434148463443206,309.36848291119105,0.999995938516184,3.760280740029708,4.051186428083972,5.444723715269142,2.2222673915746407,18.03830519941366,0.1,0.5,0.09999992264475105,20.86058826361679,0.0,20.86057212685681,21.431789308816768,SOH=1.0
40.0,0.8351898132967699,309.8928579149318,0.9999953916183506,3.755860653390052,4.043864027902339,5.40586982137232,2.222267084203425,17.87905938891524,0.1,0.5,0.09999990881333821,20.701344802863968,0.0,20.701325925998695,21.239581042949727,SOH=1.0
45.0,0.8283772250582935,310.2929387984548,0.9999948508156399,3.7522995649808233,4.037866443638015,5.37173745111948,2.2222667884081937,17.738679312717693,0.1,0.5,0.0999998955028336,20.56096695977075,0.0,20.560945474142887,21.07355087474368,SOH=1.0
50.0,0.822643268732304,310.5965094614811,0.9999943151548677,3.749302102282843,4.0328654617300765,5.343210605439888,2.222266506229607,17.61999111699333,0.1,0.5,0.09999988280506512,20.442280877371086,0.0,20.442256920053328,20.935205036425007,SOH=1.0
55.0,0.8177289869233566,310.82580734192555,0.9999937837478627,3.746665800370956,4.028613829813933,5.320316308494609,2.2222662372552247,17.522796468523932,0.1,0.5,0.09999987070147331,20.345088235887346,0.0,20.345061929988,20.823173518208705,SOH=1.0
60.0,0.8134348188023219,310.9983828688347,0.9999932558141896,3.744255183481725,4.024925006345883,5.302570645616523,2.2222659795756323,17.44510314000175,0.1,0.5,0.09999985910613632,20.267396829732665,0.0,20.2673682742142,20.734455840084056,SOH=1.0
65.0,0.8096080719564793,311.1279130500172,0.9999927306974276,3.7419814908994526,4.0216584812179565,5.289254527395034,2.222265730534205,17.384113102406975,0.1,0.5,0.09999984789950853,20.206408654385104,0.0,20.206377920338237,20.66541380383402,SOH=1.0
70.0,0.8061326883364919,311.2249427299474,0.9999922078631034,3.739787720979012,4.018708713322894,5.279595576620415,2.2222654872362417,17.336874613765502,0.1,0.5,0.0999998369513312,20.15917199197131,0.0,20.15913912270973,20.612414456087883,SOH=1.0
75.0,0.8029209561705285,311.29753142263064,0.999991686886388,3.737638054801236,4.0159966639146445,5.272870038152988,2.2222652468532447,17.30064553947999,0.1,0.5,0.09999982613432461,20.122944730032952,0.0,20.122909743139186,20.572175127470665,SOH=1.0
80.0,0.7999068949623587,311.35179682699294,0.9999911674355793,3.735510587441088,4.013463301007173,5.268449095552354,2.2222650067790135,17.27305548194148,0.1,0.5,0.09999981533121215,20.095356490559016,0.0,20.095319380707767,20.541903513358285,SOH=1.0
85.0,0.7970410545427059,311.39235791477887,0.999990649255098,3.7333924260263,4.011064633488486,5.265811576779248,2.222264764690073,17.252146457315924,0.1,0.5,0.09999980443743967,20.07444930673768,0.0,20.074410048630636,20.5193163611384,SOH=1.0
90.0,0.7942864797344611,311.422687812174,0.9999901321499524,3.731276426358849,4.008767935658662,5.264538843322393,2.222264518550283,17.236349590288345,0.1,0.5,0.0999997933613828,20.05865431793284,0.0,20.05861286900693,20.502596330528288,SOH=1.0
95.0,0.7916156133167753,311.4453899109667,0.9999896159724675,3.7291590416597273,4.006548893058314,5.264301799035027,2.222264266586452,17.224433982069645,0.1,0.5,0.09999978202324963,20.046740638029394,0.0,20.0466969407956,20.490324023741607,SOH=1.0
100.0,0.7890079395184406,311.4624110584057,0.9999891006114214,3.7270389172562752,4.00438945562815,5.2648456498324,2.222264007251556,17.215448185525435,0.1,0.5,0.09999977035342554,20.037756830919708,0.0,20.037710814897547,20.48140571679317,SOH=1.0
105.0,0.7864482029083028,311.4752045365988,0.9999885859833978,3.7249159819182367,4.002276229656734,5.265975272330961,2.2222637391850095,17.208664587099996,0.1,0.5,0.09999975829068547,20.03097529276219,0.0,20.03092687602912,20.47500681636056,SOH=1.0
110.0,0.7839250690427347,311.4848537366139,0.9999880720260371,3.7227908680648016,4.000199277324956,5.267542420144653,2.222263461174922,17.20353104841594,0.1,0.5,0.09999974578049552,20.02584389387496,0.0,20.02579298427384,20.470494975126048,SOH=1.0
115.0,0.781430121197417,311.4921654893266,0.9999875586928413,3.7206645485861127,3.9981512228731697,5.269435114883113,2.2222631721245105,17.199630954295245,0.1,0.5,0.09999973277350142,20.02194602700608,0.0,20.021892523060764,20.46739357155588,SOH=1.0
120.0,0.7789571110432073,311.49774020839965,0.9999870459492103,3.718538115399859,3.9961265884089854,5.271569136147368,2.22226287102336,17.196651252413027,0.1,0.5,0.09999971922423553,20.018968647194058,0.0,20.0189124387818,20.46534473659112,SOH=1.0
125.0,0.7765014002183027,311.50202444498484,0.9999865337694467,3.716412649903644,3.9941213011101,5.273881343827713,2.2222625569233974,17.194357428560306,0.1,0.5,0.09999970509003545,20.01667724719969,0.0,20.01661821602392,20.46408052866921,SOH=1.0
130.0,0.7740595448516213,311.5053501745056,0.9999860221344968,3.7142891522365087,3.992132328013224,5.276324516774955,2.2222622289190888,17.192574199764074,0.1,0.5,0.09999969033015299,20.014896550763606,0.0,20.01483457066408,20.463400760082678,SOH=1.0
135.0,0.7716289868271382,311.50796411509657,0.9999855110302579,3.712168507472565,3.9901574055882967,5.278863405658059,2.222261886131262,17.191170772996674,0.1,0.5,0.09999967490502626,20.01349577142692,0.0,20.013430708558094,20.463156100901568,SOH=1.0
140.0,0.7692078245802174,311.51004957914995,0.9999850004463112,3.7100514743717374,3.9881948396238145,5.281471737192861,2.222261527693912,17.19004967329931,0.1,0.5,0.09999965877568584,20.01237744074501,0.0,20.01230915364734,20.463235291766924,SOH=1.0
145.0,0.7667946430577395,311.51174274413705,0.9999844903749773,3.707938687330093,3.9862433572097222,5.284129952868883,2.222261152743456,17.18913832249478,0.1,0.5,0.09999964190327128,20.01146898707368,0.0,20.011397326657868,20.46355551406012,SOH=1.0
150.0,0.7643883876372094,311.51314475932344,0.9999839808106109,3.7058306655206823,3.984301997289792,5.286823508898135,2.222260760409924,17.18838271614187,0.1,0.5,0.09999962424863484,20.0107164125837,0.0,20.0106412220436,20.46405516398406,SOH=1.0
155.0,0.7619882706782604,311.5143307492243,0.9999834717490771,3.703727825441024,3.9823700297504248,5.289541601839742,2.2222603498096998,17.187742689585424,0.1,0.5,0.09999960577201462,20.010079559360733,0.0,20.01000067402721,20.464688444837357,SOH=1.0
160.0,0.7595937022818928,311.5153565065244,0.9999829631873618,3.7016304945522074,3.9804468956129417,5.292276215378884,2.222259920039461,17.18718838124308,0.1,0.5,0.09999958643276195,20.00952857273377,0.0,20.00944581987911,20.465421327903734,SOH=1.0
