time_to_empty_s
4.952072265023282853e+03
4.995076533330108759e+03
4.948557470848079902e+03
4.836313932106549146e+03
4.948571063827134822e+03
4.946026496244516238e+03
4.927043266621054499e+03
4.891364080924813607e+03
4.951418099916892061e+03
4.933002831005481312e+03
4.846054917905485127e+03
4.892831324716918061e+03
4.886367471039302472e+03
4.932981769674647694e+03
4.797282181895705435e+03
4.946043423473395706e+03
4.835026413161722303e+03
4.881352844657950300e+03
4.887272675997477563e+03
4.902106493603988383e+03
4.921326302075806780e+03
4.885268092921738571e+03
4.872306527554466811e+03
4.886860788982117811e+03
4.971500197479318558e+03
4.821248469350544838e+03
4.911311446855784197e+03
4.975568701744808095e+03
4.976708265608177499e+03
4.909347200512467680e+03
4.907250702135344000e+03
4.881419912469237715e+03
4.948953518355599044e+03
4.883506984573942646e+03
4.869394367939469703e+03
4.921653013509313496e+03
4.924063117368958046e+03
4.871315826903756715e+03
4.950521108807255587e+03
4.829973235560501053e+03
4.969361247096173429e+03
4.940861712278993764e+03
4.893267016481219798e+03
4.952254521385464614e+03
4.865612727752553837e+03
4.861860121680410884e+03
4.798707084528101404e+03
4.857808310127505138e+03
4.797522752871721423e+03
4.908681610741829900e+03
