temp_c,t_end_s,tte_h,soc_end,v_end,temp_max_c
0.000000000000000000e+00,1.270000000000000000e+03,3.532527515742506230e-01,2.681722891659177321e-01,3.044454770093438345e+00,2.500000000000000000e+01
2.500000000000000000e+01,1.270000000000000000e+03,3.532529873963018430e-01,2.681722342879097609e-01,3.044455506916665222e+00,2.500000000000000000e+01
4.000000000000000000e+01,1.270000000000000000e+03,3.532531288897580724e-01,2.681722013610874367e-01,3.044455949009928108e+00,2.500001904998828195e+01
