scenario,t_end_s,soc_end,v_end,temp_max_k,temp_min_k,soh_drop,avg_power_w,energy_wh,dt_s,n_points,experiment_id,label,group,rmse_v,mae_v,current_scale,r_scale,ocv_scale,voltage_offset
Day_in_the_Life,14650.0,0.2772442371447773,3.0434478367701177,298.15,298.15,0.00017302753425108008,2.4123195605033416,9.79174589926659,10.0,1466,ablation_no_thermal,Ablation: freeze thermal coupling,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Gaming,1270.0,0.2681722298976604,3.044455565862544,298.15000254000194,298.15,0.0001369731955619402,21.566894948977865,7.609087102199569,5.0,255,ablation_no_thermal,Ablation: freeze thermal coupling,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Video_Streaming,4710.0,0.04431189718433496,3.190204877723654,298.15,298.15,0.00019950174097038698,9.57716288328498,12.53124379240536,5.0,943,ablation_no_thermal,Ablation: freeze thermal coupling,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Winter_Usage,7640.0,0.023046085445932167,3.146448495963937,298.15,298.1498090007292,0.0002129599505324986,6.3924735873188325,13.566983664849719,5.0,1529,ablation_no_thermal,Ablation: freeze thermal coupling,ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
