temp_c,t_end_s,tte_h,soc_end,v_end,temp_max_c
0.000000000000000000e+00,9.500000000000000000e+02,2.647406579164726659e-01,4.904519320164189011e-01,3.003403235914570590e+00,2.500000000000000000e+01
2.500000000000000000e+01,1.815000000000000000e+03,5.052322677659303318e-01,1.032500698856025356e-01,3.176601476331206264e+00,3.711701018743718805e+01
4.000000000000000000e+01,4.765000000000000000e+03,1.323777279014401564e+00,1.851539525365444860e-02,3.104219995152103895e+00,4.600542533163570624e+01
