scenario,t_end_s,soc_end,v_end,temp_max_k,temp_min_k,soh_drop,avg_power_w,energy_wh,dt_s,n_points,experiment_id,label,group,rmse_v,mae_v,current_scale,r_scale,ocv_scale,voltage_offset
Day_in_the_Life,15010.0,0.10644636221949832,3.1770512152604637,310.39844216683446,298.15,0.00019127008004160562,2.7384176496433437,11.401039711891354,10.0,1502,rc_only,"RC only (no temp corr, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Gaming,1990.0,0.08023710176652554,3.183240419516223,311.80567221956534,298.15,0.0001604864283601959,18.65760673092189,10.314376496259076,5.0,399,rc_only,"RC only (no temp corr, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Video_Streaming,4880.0,0.029040488152028136,3.1641676953483753,304.0515885484014,298.15,0.00019682571867707388,9.432316202749464,12.786993202932479,5.0,977,rc_only,"RC only (no temp corr, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
Winter_Usage,6595.0,0.13247374215198593,3.175580730412413,298.15,277.0753855302533,0.00022011608291228058,6.714986288532928,12.302407130923715,5.0,1320,rc_only,"RC only (no temp corr, no calib)",baseline,0.036969485027835605,0.031225305510610698,1.0,1.0,1.0,0.0
