scenario,t_end_s,soc_end,v_end,temp_max_k,temp_min_k,soh_drop,avg_power_w,energy_wh,dt_s,n_points
Video_Streaming,4875.0,0.029488002405548417,3.167986546315201,304.05017791267727,298.15,0.00019674121791646293,9.433728172003443,12.775806168953217,5.0,976
Gaming,1980.0,0.08222486587805126,3.183375307702875,311.80200448678875,298.15,0.00016006754793185252,18.674410854113393,10.271801544819297,5.0,397
Winter_Usage,6615.0,0.13077628165563773,3.177909399789541,298.15,277.0749498145452,0.00022037850507439227,6.712279938199182,12.334743794725023,5.0,1324
