t_s,soc_p5,soc_p50,soc_p95
8.750000000000000000e+02,7.101918742011759100e-01,7.196099488679215117e-01,7.253319437972192141e-01
8.800000000000000000e+02,7.091485654920040016e-01,7.185523162213673931e-01,7.242738023416852577e-01
8.850000000000000000e+02,7.081061586541416153e-01,7.174955918966381407e-01,7.232165722061585367e-01
8.900000000000000000e+02,7.070646472277285488e-01,7.164397693667279299e-01,7.221602468668304464e-01
8.950000000000000000e+02,7.060240247919199463e-01,7.153848421439049643e-01,7.211048198391766251e-01
9.000000000000000000e+02,7.049842849646603682e-01,7.143308037794882104e-01,7.200502846777280253e-01
9.050000000000000000e+02,7.039454214024534195e-01,7.132776478636181361e-01,7.189966349758462050e-01
9.100000000000000000e+02,7.029074278001414822e-01,7.122253680250335561e-01,7.179438643655026153e-01
9.150000000000000000e+02,7.018702978906783407e-01,7.111739579308482551e-01,7.168919665170518929e-01
9.200000000000000000e+02,7.008340254449106910e-01,7.101234112863263892e-01,7.158409351390139230e-01
9.250000000000000000e+02,6.997986042713529864e-01,7.090737218346633286e-01,7.147907639778495748e-01
9.300000000000000000e+02,6.987640282159721661e-01,7.080248833567642786e-01,7.137414468177467608e-01
9.350000000000000000e+02,6.977302911619652770e-01,7.069768896710260098e-01,7.126875004085457821e-01
9.400000000000000000e+02,6.966973870295437576e-01,7.059297346331194767e-01,7.116336412070948247e-01
9.450000000000000000e+02,6.956653097757191651e-01,7.048834121357734350e-01,7.105806177212806718e-01
9.500000000000000000e+02,6.946340533940862372e-01,7.038379161085572822e-01,7.095284238527724829e-01
9.550000000000000000e+02,6.936036119146099521e-01,7.027932405176704478e-01,7.084770535399801394e-01
9.600000000000000000e+02,6.925739794034145858e-01,7.017493793657282319e-01,7.074265007578423026e-01
9.650000000000000000e+02,6.915451499625698828e-01,7.007063266915484201e-01,7.063767595176143610e-01
9.700000000000000000e+02,6.905171177298858876e-01,6.996640765699433384e-01,7.053278238666573774e-01
