scenario,t_end_s,soc_end,v_end,temp_max_k,temp_min_k,soh_drop,avg_power_w,energy_wh,dt_s,n_points,experiment_id,label,group,rmse_v,mae_v,current_scale,r_scale,ocv_scale,voltage_offset
Day_in_the_Life,15080.0,0.08243159747092663,3.20718945967786,310.4618799435556,298.15,0.00019509813785956176,2.7961066142503186,11.696527158918167,10.0,1509,ablation_no_polarization,Ablation: no polarization (RC off),ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Gaming,2055.0,0.06350995414690429,3.2101066393835334,311.85693402085536,298.15,0.00016371918432833699,18.515652309061043,10.570127700668294,5.0,412,ablation_no_polarization,Ablation: no polarization (RC off),ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Video_Streaming,4890.0,0.0273409555133082,3.175164700955388,304.0589347182416,298.15,0.00019710064913935899,9.426987571259502,12.805950863896886,5.0,979,ablation_no_polarization,Ablation: no polarization (RC off),ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
Winter_Usage,6670.0,0.12299000505034827,3.1923306564874974,298.15,277.07494981537843,0.00022143937749341536,6.699774492689455,12.414139377749027,5.0,1335,ablation_no_polarization,Ablation: no polarization (RC off),ablation,0.02319871795645863,0.0186548429549882,0.8,0.7,0.9842692059378163,0.07549368400869681
